Add default members to created project	http://www.redmine.org/plugins/default_members	When creating poject assign to it default members, from a default group with default roles(specified in plugin settings).	Compatible with Redmine 1.3.x.
Add Subversion Links	http://www.redmine.org/plugins/add_subversion_links	This plugin is more useful when you use it with 	Compatible with Redmine 2.1.x.
Advanced Drag&Drop Gantt 	http://www.redmine.org/plugins/advanced-drag-drop-gantt	You can easily drag &amp; drop issues in time and change their realization time. You can even drag &amp; drop whole series of the tasks which are connected with some relation.	Compatible with Redmine 2.4.x, 2.3.x, 2.2.x, 2.1.x, 2.0.x, 1.4.x, 1.3.x, 1.2.x, 1.1.x, 1.0.x, 0.9.x, 0.8.x, 0.7.x.
Advanced Help Desk	http://www.redmine.org/plugins/advanced-help-desk	Upgraded solution for automation of your support and customer care. Previous version 	Compatible with Redmine 2.3.x, 2.2.x, 2.1.x.
Advanced Membership Management	http://www.redmine.org/plugins/advanced_membership_management	This plugin makes 3 times mainly:	Compatible with Redmine 2.2.x.
Advanced reminder	http://www.redmine.org/plugins/advanced_reminder	E-mail notification of issues due date you are involved in (Assignee, Author, Watcher)	Compatible with Redmine 0.7.x, 0.8.x, 0.9.x, 1.0.x, 1.1.x.
Advanced roadmap	http://www.redmine.org/plugins/advanced_roadmap		Compatible with Redmine 1.4.x.
Agile Dwarf	http://www.redmine.org/plugins/agile_dwarf	Watch your project make headway, match progress against estimates, create and assign tasks in one click, know instantly who’s working on what in a clear kanban-like environment. All this and much more becomes possible with Agile Dwarf, a new powerful open source Scrum tool. 	Compatible with Redmine 1.0.x, 1.1.x, 1.2.x, 1.3.x, 1.4.x, 2.0.x, 2.1.x.
Alerts - Early Warning System	http://www.redmine.org/plugins/alerts-early-warning-system	Cease problematic projects. Prevent the problems with Early Warning System. Define your own alerts and be notified via e-mail before the problem occurs.	Compatible with Redmine 2.1.x.
All Time Team Plugin	http://www.redmine.org/plugins/all-time-team	This plugin show you your team activity.	Compatible with Redmine 0.8.x, 0.9.x.
Allocation	http://www.redmine.org/plugins/redmine_allocation	Allocation is a Redmine plugin to record and keep track of people's allocation to projects.	Compatible with Redmine 1.2.x, 1.3.x, 1.4.x.
Announcements	http://www.redmine.org/plugins/announcements	Site Wide Announcements in Redmine	Compatible with Redmine 2.2.x, 2.1.x.
Anonymous Authors	http://www.redmine.org/plugins/anonymous-authors	Recommended to use together with 	Compatible with Redmine 2.1.x, 2.0.x, 1.4.x.
Anonymous Watchers	http://www.redmine.org/plugins/anonymous-watchers	Recommended to use together with 	Compatible with Redmine 2.1.x, 2.0.x, 1.4.x.
apijs (with lightbox system)	http://www.redmine.org/plugins/apijs	Integrate the 	Compatible with Redmine 2.2.x, 1.4.x.
